Pruning progress percentage,Clean data accuracy of Modified Model,Attack Success Rate (ASR)
0.0,98.64899974019225,100.0
0.016666666666666666,98.64899974019225,100.0
0.03333333333333333,98.64899974019225,100.0
0.05,98.64899974019225,100.0
0.06666666666666667,98.64899974019225,100.0
0.08333333333333333,98.64899974019225,100.0
0.1,98.64899974019225,100.0
0.11666666666666667,98.64899974019225,100.0
0.13333333333333333,98.64899974019225,100.0
0.15,98.64899974019225,100.0
0.16666666666666666,98.64899974019225,100.0
0.18333333333333332,98.64899974019225,100.0
0.2,98.64899974019225,100.0
0.21666666666666667,98.64899974019225,100.0
0.23333333333333334,98.64899974019225,100.0
0.25,98.64899974019225,100.0
0.26666666666666666,98.64899974019225,100.0
0.2833333333333333,98.64899974019225,100.0
0.3,98.64899974019225,100.0
0.31666666666666665,98.64899974019225,100.0
0.3333333333333333,98.64899974019225,100.0
0.35,98.64899974019225,100.0
0.36666666666666664,98.64899974019225,100.0
0.38333333333333336,98.64899974019225,100.0
0.4,98.64899974019225,100.0
0.4166666666666667,98.64899974019225,100.0
0.43333333333333335,98.64899974019225,100.0
0.45,98.64899974019225,100.0
0.4666666666666667,98.64899974019225,100.0
0.48333333333333334,98.64899974019225,100.0
0.5,98.64899974019225,100.0
0.5166666666666667,98.64899974019225,100.0
0.5333333333333333,98.64899974019225,100.0
0.55,98.64033948211657,100.0
0.5666666666666667,98.64033948211657,100.0
0.5833333333333334,98.63167922404088,100.0
0.6,98.63167922404088,100.0
0.6166666666666667,98.62301896596519,100.0
0.6333333333333333,98.57105741751104,100.0
0.65,98.47579457867845,100.0
0.6666666666666666,98.44115354637569,100.0
0.6833333333333333,98.08608296527237,100.0
0.7,97.54914696457955,100.0
0.7166666666666667,97.39326231921711,100.0
0.7333333333333333,95.61790941370053,100.0
0.75,95.02901186455355,99.9913397419243
0.7666666666666667,94.49207586386075,99.9913397419243
0.7833333333333333,91.85935740885078,99.9913397419243
0.8,91.27045985970382,99.9913397419243
0.8166666666666667,90.80280592361653,99.98267948384861
0.8333333333333334,88.94951069541872,80.73958603966398
0.85,84.24699056031871,77.015675067117
0.8666666666666667,76.29687364683467,35.71490430414826
0.8833333333333333,54.75015155451632,6.954187234779596
0.9,26.994024421927776,0.4243526457088421
0.9166666666666666,13.813111630726596,0.0
0.9333333333333333,7.066770589763576,0.0
0.95,1.5501861955486274,0.0
0.9666666666666667,0.7188014202823244,0.0
0.9833333333333333,0.0779423226812159,0.0
